simulation	experiment
2.674030363600000e-01	1.111427021000000e+01
2.687433958100000e-01	1.111432457000000e+01
2.694135904300000e-01	1.111435127300000e+01
2.707539498800000e-01	1.111440181700000e+01
2.714241147000000e-01	1.111442661300000e+01
2.727645039600000e-01	1.111447525000000e+01
2.734346687800000e-01	1.111449909200000e+01
2.747750282300000e-01	1.111454391500000e+01
2.754452228500000e-01	1.111456584900000e+01
2.767855823000000e-01	1.111460876500000e+01
2.774557769300000e-01	1.111462974500000e+01
2.787961363800000e-01	1.111466980000000e+01
2.794663310100000e-01	1.111468982700000e+01
2.808066904500000e-01	1.111472797400000e+01
2.814768850800000e-01	1.111474609400000e+01
2.828172445300000e-01	1.111478233300000e+01
2.834874093500000e-01	1.111479950000000e+01
2.848277986000000e-01	1.111483287800000e+01
2.854979634300000e-01	1.111485004400000e+01
2.868383228800000e-01	1.111488151600000e+01
2.875085175000000e-01	1.111489677400000e+01
2.888488769500000e-01	1.111492729200000e+01
2.895190715800000e-01	1.111494159700000e+01
2.908594310300000e-01	1.111497020700000e+01
2.915296256500000e-01	1.111498355900000e+01
2.928699851000000e-01	1.111501026200000e+01
2.935401797300000e-01	1.111502361300000e+01
2.948805391800000e-01	1.111504840900000e+01
2.955507040000000e-01	1.111506080600000e+01
2.968910932500000e-01	1.111508464800000e+01
2.975612580800000e-01	1.111509418500000e+01
2.989016175300000e-01	1.111508846300000e+01
2.995718121500000e-01	1.111506652800000e+01
3.009121716000000e-01	1.111496067000000e+01
3.015823662300000e-01	1.111486816400000e+01
3.029227256800000e-01	1.111458015400000e+01
3.035929203000000e-01	1.111437320700000e+01
3.049332797500000e-01	1.111380863200000e+01
3.056034743800000e-01	1.111344718900000e+01
3.069438338300000e-01	1.111255741100000e+01
3.076139986500000e-01	1.111202621500000e+01
3.089543879000000e-01	1.111078071600000e+01
3.096245527300000e-01	1.111006259900000e+01
3.109649121800000e-01	1.110842609400000e+01
3.116351068000000e-01	1.110750293700000e+01
3.129754662500000e-01	1.110543251000000e+01
3.136456608800000e-01	1.110427951800000e+01
3.149860203300000e-01	1.110172557800000e+01
3.156562149500000e-01	1.110031700100000e+01
3.169965744000000e-01	1.109721946700000e+01
3.176667690300000e-01	1.109552383400000e+01
3.183369338500000e-01	1.109372425100000e+01
3.196772933000000e-01	1.108979511300000e+01
3.203474879300000e-01	1.108765792800000e+01
3.216878473800000e-01	1.108301067400000e+01
3.223580420000000e-01	1.108049011200000e+01
3.236984014500000e-01	1.107502651200000e+01
3.243685960800000e-01	1.107207107500000e+01
3.257089555300000e-01	1.106567859600000e+01
3.263791501500000e-01	1.106222820300000e+01
3.277195096000000e-01	1.105477905300000e+01
3.283896744300000e-01	1.105076313000000e+01
3.297300636800000e-01	1.104210472100000e+01
3.304002285000000e-01	1.103744316100000e+01
3.317405879500000e-01	1.102740287800000e+01
3.324107825800000e-01	1.102200222000000e+01
3.337511420200000e-01	1.101037883800000e+01
3.344213366500000e-01	1.100413036300000e+01
3.357616961000000e-01	1.099069023100000e+01
3.364318907300000e-01	1.098346900900000e+01
3.377722501800000e-01	1.096794319200000e+01
3.384424448000000e-01	1.095960331000000e+01
3.397828042500000e-01	1.094167900100000e+01
3.404529690700000e-01	1.093205356600000e+01
3.417933583300000e-01	1.091136741600000e+01
3.424635231500000e-01	1.090026092500000e+01
3.438038826000000e-01	1.087639236500000e+01
3.444740772200000e-01	1.086357784300000e+01
3.458144366700000e-01	1.083603763600000e+01
3.464846313000000e-01	1.082124996200000e+01
3.478249907500000e-01	1.078946876500000e+01
3.484951853800000e-01	1.077240181000000e+01
3.498355448200000e-01	1.073571491200000e+01
3.505057394500000e-01	1.071601009400000e+01
3.518460989000000e-01	1.067364406600000e+01
3.525162637200000e-01	1.065088367500000e+01
3.538566529800000e-01	1.060193634000000e+01
3.545268178000000e-01	1.057563209500000e+01
3.558671772500000e-01	1.051905059800000e+01
3.565373718700000e-01	1.048863792400000e+01
3.578777313200000e-01	1.042319965400000e+01
3.585479259500000e-01	1.038801860800000e+01
3.598882854000000e-01	1.031231021900000e+01
3.605584800200000e-01	1.027160358400000e+01
3.618988394700000e-01	1.018400859800000e+01
3.625690341000000e-01	1.013691711400000e+01
3.639093935500000e-01	1.003561687500000e+01
3.645795583700000e-01	9.981185913099999e+00
3.659199476200000e-01	9.864197731000001e+00
3.665901124500000e-01	9.801408767700000e+00
3.679304719000000e-01	9.666675567600000e+00
3.686006665200000e-01	9.594511032100000e+00
3.699410259700000e-01	9.440080642700000e+00
3.706112206000000e-01	9.357636451699999e+00
3.719515800500000e-01	9.181938171400001e+00
3.726217746700000e-01	9.088588714600000e+00
3.739621341200000e-01	8.890802383400001e+00
3.746323287500000e-01	8.786394119300001e+00
3.759726882000000e-01	8.566809654200000e+00
3.766428530200000e-01	8.451812744100000e+00
3.779832422700000e-01	8.212038040200000e+00
3.786534071000000e-01	8.087577819800000e+00
3.799937665500000e-01	7.830443859100000e+00
3.806639611700000e-01	7.698181152300000e+00
3.813341558000000e-01	7.563744545000000e+00
3.826745152500000e-01	7.289245605500000e+00
3.833447098700000e-01	7.149633884400000e+00
3.846850693200000e-01	6.866796016700000e+00
3.853552341500000e-01	6.724000930800000e+00
3.866956234000000e-01	6.436693191500000e+00
3.873657882200000e-01	6.292574882500000e+00
3.887061476700000e-01	6.004348754900000e+00
3.893763423000000e-01	5.860595226300000e+00
3.907167017500000e-01	5.574645519300000e+00
3.913868963700000e-01	5.432765483900000e+00
3.927272558200000e-01	5.151937007900000e+00
3.933974504500000e-01	5.013266086600000e+00
3.947378099000000e-01	4.740055561100000e+00
3.954080045200000e-01	4.605754375500000e+00
3.967483639700000e-01	4.342933177900000e+00
3.974185288000000e-01	4.216301441200000e+00
3.987589180500000e-01	3.971378803300000e+00
3.994290828700000e-01	3.852510929100000e+00
4.007694423200000e-01	3.621505498900000e+00
4.014396369500000e-01	3.509353876100000e+00
4.027799964000000e-01	3.291854143100000e+00
4.034501910200000e-01	3.186560392400000e+00
4.047905504700000e-01	2.983004808400000e+00
4.054607451000000e-01	2.884778499600000e+00
4.068011045500000e-01	2.695479393000000e+00
4.074712991700000e-01	2.604412078900000e+00
4.088116586200000e-01	2.429421424900000e+00
4.094818234400000e-01	2.345476627300000e+00
4.108222127000000e-01	2.184605121600000e+00
4.114923775200000e-01	2.107635021200000e+00
4.128327369700000e-01	1.960494041400000e+00
4.135029315900000e-01	1.890262246100000e+00
4.148432910400000e-01	1.756305694600000e+00
4.155134856700000e-01	1.692507267000000e+00
4.168538451200000e-01	1.571073055300000e+00
4.175240397500000e-01	1.513354301500000e+00
4.188643991900000e-01	1.403699040400000e+00
4.195345938200000e-01	1.351674079900000e+00
4.208749532700000e-01	1.253005266200000e+00
4.215451180900000e-01	1.206270456300000e+00
4.228855073500000e-01	1.117772102400000e+00
4.235556721700000e-01	1.075917601600000e+00
4.248960614200000e-01	9.967722892799999e-01
4.255662262400000e-01	9.593920111699999e-01
4.269065856900000e-01	8.887968659400000e-01
4.275767803200000e-01	8.554957509000000e-01
4.289171397700000e-01	7.926758527800000e-01
4.295873343900000e-01	7.630751133000000e-01
4.309276938400000e-01	7.072927355800001e-01
4.315978884700000e-01	6.810339689300000e-01
4.329382479200000e-01	6.315945982900000e-01
4.336084127400000e-01	6.083420515100000e-01
4.349488019900000e-01	5.645982623100000e-01
4.356189668200000e-01	5.440405011200000e-01
4.369593560700000e-01	5.053938627200000e-01
4.376295208900000e-01	4.872439801700000e-01
4.389698803400000e-01	4.531452655800000e-01
4.396400749700000e-01	4.371407628100000e-01
4.409804344200000e-01	4.070890247800000e-01
4.416506290400000e-01	3.929912746000000e-01
4.429909884900000e-01	3.665321469300000e-01
4.436611831200000e-01	3.541252017000000e-01
4.443313479400000e-01	3.422375917400000e-01
4.456717073900000e-01	3.199378252000000e-01
4.463419020200000e-01	3.094861507400000e-01
4.476822614700000e-01	2.898858785600000e-01
4.483524560900000e-01	2.807019352900000e-01
4.496928155400000e-01	2.634830772900000e-01
4.503630101700000e-01	2.554166615000000e-01
4.517033696200000e-01	2.402955144600000e-01
4.523735642400000e-01	2.332127988300000e-01
4.537139236900000e-01	2.199370861100000e-01
4.543840885200000e-01	2.137192338700000e-01
4.557244777700000e-01	2.020650804000000e-01
4.563946425900000e-01	1.966067701600000e-01
4.577350020400000e-01	1.863760054100000e-01
